bins,True_ET,Tight_Final_ET
376.5,9.0,67.0
377.5,9.0,69.0
378.5,13.0,74.0
379.5,15.0,79.0
380.5,5.0,69.0
381.5,10.0,52.0
382.5,13.0,77.0
383.5,8.0,59.0
384.5,11.0,62.0
385.5,9.0,65.0
386.5,5.0,75.0
387.5,7.0,59.0
388.5,9.0,63.0
389.5,12.0,46.0
390.5,9.0,59.0
391.5,10.0,54.0
392.5,9.0,62.0
393.5,5.0,51.0
394.5,8.0,52.0
395.5,14.0,60.0
396.5,7.0,46.0
397.5,2.0,35.0
398.5,9.0,46.0
399.5,5.0,45.0
400.5,5.0,39.0
401.5,5.0,50.0
402.5,5.0,41.0
403.5,3.0,41.0
404.5,5.0,43.0
405.5,3.0,41.0
406.5,1.0,43.0
407.5,5.0,38.0
408.5,7.0,54.0
409.5,2.0,41.0
410.5,6.0,45.0
411.5,6.0,47.0
412.5,2.0,41.0
413.5,5.0,25.0
414.5,4.0,33.0
415.5,4.0,26.0
416.5,2.0,39.0
417.5,7.0,32.0
418.5,3.0,29.0
419.5,3.0,26.0
420.5,3.0,31.0
421.5,2.0,24.0
422.5,2.0,24.0
423.5,3.0,32.0
424.5,3.0,35.0
425.5,1.0,33.0
426.5,1.0,31.0
427.5,2.0,20.0
428.5,3.0,24.0
429.5,1.0,27.0
430.5,4.0,28.0
431.5,2.0,20.0
432.5,2.0,23.0
433.5,1.0,24.0
434.5,3.0,15.0
435.5,2.0,20.0
436.5,3.0,11.0
437.5,0.0,31.0
438.5,0.0,30.0
439.5,3.0,21.0
440.5,0.0,20.0
441.5,2.0,21.0
442.5,1.0,24.0
443.5,3.0,14.0
444.5,3.0,27.0
445.5,2.0,16.0
446.5,1.0,25.0
447.5,1.0,32.0
448.5,1.0,24.0
449.5,0.0,22.0
450.5,0.0,15.0
451.5,2.0,16.0
452.5,1.0,14.0
453.5,0.0,16.0
454.5,0.0,23.0
455.5,0.0,7.0
456.5,3.0,11.0
457.5,0.0,12.0
458.5,0.0,9.0
459.5,1.0,11.0
460.5,0.0,18.0
461.5,0.0,18.0
462.5,0.0,10.0
463.5,0.0,10.0
464.5,1.0,14.0
465.5,1.0,17.0
466.5,0.0,10.0
467.5,0.0,11.0
468.5,1.0,13.0
469.5,2.0,12.0
470.5,0.0,9.0
471.5,0.0,13.0
472.5,0.0,13.0
473.5,1.0,11.0
474.5,0.0,9.0
475.5,2.0,9.0
476.5,1.0,17.0
477.5,0.0,7.0
478.5,1.0,8.0
479.5,0.0,10.0
480.5,1.0,7.0
481.5,0.0,14.0
482.5,0.0,7.0
483.5,1.0,14.0
484.5,1.0,13.0
485.5,2.0,10.0
486.5,1.0,8.0
487.5,0.0,11.0
488.5,1.0,15.0
489.5,1.0,5.0
490.5,2.0,8.0
491.5,1.0,10.0
492.5,2.0,11.0
493.5,0.0,14.0
494.5,0.0,8.0
495.5,0.0,5.0
496.5,0.0,11.0
497.5,0.0,8.0
498.5,0.0,6.0
499.5,0.0,4.0
