bins,True_ET,Tight_Final_ET
335.5,1364.0,1548.0
336.5,1436.0,1448.0
337.5,1374.0,1542.0
338.5,1309.0,1419.0
339.5,1364.0,1436.0
340.5,1289.0,1416.0
341.5,1319.0,1343.0
342.5,1340.0,1382.0
343.5,1285.0,1330.0
344.5,1330.0,1406.0
345.5,1260.0,1338.0
346.5,1174.0,1342.0
347.5,1295.0,1360.0
348.5,1249.0,1247.0
349.5,1162.0,1217.0
350.5,1148.0,1214.0
351.5,1167.0,1230.0
352.5,1166.0,1288.0
353.5,1165.0,1305.0
354.5,1190.0,1157.0
355.5,1107.0,1197.0
356.5,1118.0,1108.0
357.5,1055.0,1077.0
358.5,1089.0,1085.0
359.5,1077.0,1122.0
360.5,1014.0,1132.0
361.5,1046.0,1102.0
362.5,1009.0,1079.0
363.5,999.0,1080.0
364.5,1032.0,1107.0
365.5,990.0,1100.0
366.5,937.0,1059.0
367.5,975.0,1078.0
368.5,951.0,1040.0
369.5,870.0,989.0
370.5,907.0,1021.0
371.5,886.0,941.0
372.5,902.0,914.0
373.5,917.0,917.0
374.5,892.0,888.0
375.5,900.0,905.0
376.5,837.0,911.0
377.5,879.0,823.0
378.5,828.0,836.0
379.5,816.0,855.0
380.5,822.0,880.0
381.5,801.0,875.0
382.5,836.0,870.0
383.5,760.0,836.0
384.5,774.0,867.0
385.5,733.0,835.0
386.5,728.0,821.0
387.5,776.0,821.0
388.5,714.0,835.0
389.5,713.0,803.0
390.5,727.0,812.0
391.5,708.0,740.0
392.5,675.0,768.0
393.5,657.0,775.0
394.5,681.0,740.0
395.5,688.0,734.0
396.5,681.0,704.0
397.5,681.0,724.0
398.5,654.0,691.0
399.5,616.0,706.0
400.5,656.0,674.0
401.5,600.0,741.0
402.5,589.0,673.0
403.5,626.0,681.0
404.5,595.0,656.0
405.5,623.0,682.0
406.5,606.0,643.0
407.5,582.0,596.0
408.5,611.0,641.0
409.5,595.0,600.0
410.5,605.0,637.0
411.5,606.0,619.0
412.5,561.0,608.0
413.5,533.0,599.0
414.5,570.0,587.0
415.5,519.0,556.0
416.5,517.0,548.0
417.5,510.0,523.0
418.5,550.0,545.0
419.5,538.0,535.0
420.5,531.0,572.0
421.5,532.0,522.0
422.5,505.0,518.0
423.5,520.0,554.0
424.5,511.0,484.0
425.5,486.0,511.0
426.5,513.0,558.0
427.5,449.0,541.0
428.5,516.0,532.0
429.5,484.0,501.0
430.5,473.0,507.0
431.5,454.0,500.0
432.5,440.0,494.0
433.5,469.0,447.0
434.5,422.0,499.0
435.5,453.0,414.0
436.5,405.0,465.0
437.5,421.0,431.0
438.5,395.0,439.0
439.5,429.0,415.0
440.5,423.0,461.0
441.5,386.0,411.0
442.5,394.0,416.0
443.5,378.0,386.0
444.5,361.0,378.0
445.5,368.0,404.0
446.5,364.0,373.0
447.5,365.0,408.0
448.5,348.0,382.0
449.5,393.0,388.0
450.5,363.0,367.0
451.5,334.0,412.0
452.5,376.0,368.0
453.5,341.0,357.0
454.5,354.0,361.0
455.5,346.0,360.0
456.5,315.0,341.0
457.5,322.0,332.0
458.5,356.0,332.0
459.5,302.0,302.0
460.5,314.0,338.0
461.5,310.0,293.0
462.5,277.0,308.0
463.5,280.0,291.0
464.5,297.0,306.0
465.5,289.0,336.0
466.5,272.0,304.0
467.5,270.0,285.0
468.5,258.0,343.0
469.5,282.0,329.0
470.5,264.0,264.0
471.5,246.0,272.0
472.5,237.0,296.0
473.5,248.0,236.0
474.5,217.0,248.0
475.5,230.0,242.0
476.5,224.0,238.0
477.5,243.0,248.0
478.5,219.0,237.0
479.5,214.0,263.0
480.5,204.0,259.0
481.5,205.0,223.0
482.5,195.0,227.0
483.5,206.0,209.0
484.5,214.0,232.0
485.5,180.0,191.0
486.5,155.0,202.0
487.5,176.0,212.0
488.5,156.0,198.0
489.5,155.0,176.0
490.5,182.0,175.0
491.5,170.0,174.0
492.5,154.0,169.0
493.5,123.0,148.0
494.5,148.0,176.0
495.5,138.0,173.0
496.5,162.0,179.0
497.5,131.0,162.0
498.5,135.0,180.0
499.5,128.0,163.0
