bins,True_ET,Tight_Final_ET
429.5,18212.0,13536.0
430.5,18453.0,13536.0
431.5,17992.0,13625.0
432.5,17987.0,13311.0
433.5,17602.0,13553.0
434.5,17225.0,13516.0
435.5,17116.0,13337.0
436.5,16772.0,13282.0
437.5,16454.0,13296.0
438.5,16615.0,13210.0
439.5,16077.0,13265.0
440.5,15946.0,13032.0
441.5,15592.0,13291.0
442.5,15482.0,13023.0
443.5,14997.0,13099.0
444.5,14881.0,12830.0
445.5,14879.0,12835.0
446.5,14344.0,12530.0
447.5,14402.0,12401.0
448.5,14034.0,12345.0
449.5,13703.0,12429.0
450.5,13636.0,12157.0
451.5,13315.0,12170.0
452.5,13181.0,11936.0
453.5,12779.0,12007.0
454.5,12682.0,11856.0
455.5,12448.0,11517.0
456.5,12215.0,11399.0
457.5,11861.0,11459.0
458.5,11965.0,11364.0
459.5,11502.0,11104.0
460.5,11190.0,11214.0
461.5,11134.0,11119.0
462.5,10922.0,10805.0
463.5,10679.0,10887.0
464.5,10515.0,10332.0
465.5,10128.0,10300.0
466.5,10061.0,10355.0
467.5,9969.0,10178.0
468.5,9529.0,10067.0
469.5,9351.0,9942.0
470.5,9322.0,9812.0
471.5,8867.0,9610.0
472.5,8725.0,9085.0
473.5,8571.0,9265.0
474.5,8285.0,9056.0
475.5,8266.0,8900.0
476.5,8101.0,8774.0
477.5,7892.0,8571.0
478.5,7780.0,8603.0
479.5,7585.0,8368.0
480.5,7289.0,8272.0
481.5,7061.0,8122.0
482.5,6831.0,7974.0
483.5,6792.0,7664.0
484.5,6585.0,7643.0
485.5,6242.0,7336.0
486.5,6271.0,7373.0
487.5,6173.0,7087.0
488.5,5895.0,6962.0
489.5,5672.0,6911.0
490.5,5702.0,6795.0
491.5,5587.0,6396.0
492.5,5246.0,6630.0
493.5,5182.0,6150.0
494.5,5130.0,6107.0
495.5,4900.0,6023.0
496.5,4824.0,5716.0
497.5,4662.0,5573.0
498.5,4362.0,5555.0
499.5,4356.0,5420.0
